date,day,active_services,Number_of_Active_services,Number_of_Active_Trips,category
2024-12-16,monday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2024-12-17,tuesday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2024-12-18,wednesday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2024-12-19,thursday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2024-12-20,friday,"['371-2', '371-21', '371-502']",3,8580,2
2024-12-21,saturday,['371-3'],1,6335,4
2024-12-22,sunday,['371-4'],1,6060,5
2024-12-23,monday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2024-12-24,tuesday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2024-12-25,wednesday,['371-4'],1,6060,5
2024-12-26,thursday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2024-12-27,friday,"['371-2', '371-21', '371-502']",3,8580,2
2024-12-28,saturday,['371-3'],1,6335,4
2024-12-29,sunday,['371-4'],1,6060,5
2024-12-30,monday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2024-12-31,tuesday,"['371-2', '371-402', '371-13']",3,8648,3
2025-01-01,wednesday,['371-4'],1,6060,5
2025-01-02,thursday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2025-01-03,friday,"['371-2', '371-21', '371-502']",3,8580,2
2025-01-04,saturday,['371-3'],1,6335,4
2025-01-05,sunday,['371-4'],1,6060,5
2025-01-06,monday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2025-01-07,tuesday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2025-01-08,wednesday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2025-01-09,thursday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2025-01-10,friday,"['371-2', '371-21', '371-502']",3,8580,2
2025-01-11,saturday,['371-3'],1,6335,4
2025-01-12,sunday,['371-4'],1,6060,5
2025-01-13,monday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2025-01-14,tuesday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2025-01-15,wednesday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2025-01-16,thursday,"['371-2', '371-21', '371-402', '371-1521']",4,8630,1
2025-01-17,friday,"['371-2', '371-21', '371-502']",3,8580,2
2025-01-18,saturday,['371-3'],1,6335,4
2025-01-19,sunday,['371-4'],1,6060,5
