category,Active_Services,Date_List,Number_of_Active_Trips
1,"['2152-12', '2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']","['2025-01-01', '2025-01-07', '2025-01-08', '2025-01-14', '2025-01-15', '2025-01-21', '2025-01-22', '2025-01-28', '2025-01-29', '2025-02-04', '2025-02-05', '2025-02-11', '2025-02-12', '2025-02-18', '2025-02-19', '2025-02-25', '2025-02-26', '2025-03-04', '2025-03-05', '2025-03-11', '2025-03-12', '2025-03-18', '2025-03-19', '2025-03-25', '2025-03-26', '2025-04-01', '2025-04-02', '2025-04-08', '2025-04-09', '2025-04-15', '2025-04-16', '2025-04-22', '2025-04-23', '2025-04-29', '2025-04-30', '2025-05-06', '2025-05-07', '2025-05-13', '2025-05-14', '2025-05-20', '2025-05-21']",15671
2,"['2152-12', '2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']","['2024-12-10', '2024-12-11', '2024-12-17', '2024-12-18', '2024-12-24', '2024-12-25', '2024-12-31']",15658
3,"['2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']","['2025-01-02', '2025-01-09', '2025-01-16', '2025-01-23', '2025-01-30', '2025-02-06', '2025-02-13', '2025-02-20', '2025-02-27', '2025-03-06', '2025-03-13', '2025-03-20', '2025-03-27', '2025-04-03', '2025-04-10', '2025-04-17', '2025-04-24', '2025-05-01', '2025-05-08', '2025-05-15', '2025-05-22']",15670
4,"['2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']","['2024-12-12', '2024-12-19', '2024-12-26']",15657
5,"['2152-13', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9']",['2024-12-05'],15645
6,"['2152-13', '2152-d3dfa64941858f3632c262bc6e1e740e', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef']","['2025-01-06', '2025-01-13', '2025-01-20', '2025-01-27', '2025-02-03', '2025-02-10', '2025-02-17', '2025-02-24', '2025-03-03', '2025-03-10', '2025-03-17', '2025-03-24', '2025-03-31', '2025-04-07', '2025-04-14', '2025-04-21', '2025-04-28', '2025-05-05', '2025-05-12', '2025-05-19']",15672
7,"['2152-13', '2152-d3dfa64941858f3632c262bc6e1e740e', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef']","['2024-12-09', '2024-12-16', '2024-12-23', '2024-12-30']",15659
8,"['2152-15', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']","['2025-01-03', '2025-01-10', '2025-01-17', '2025-01-24', '2025-01-31', '2025-02-07', '2025-02-14', '2025-02-21', '2025-02-28', '2025-03-07', '2025-03-14', '2025-03-21', '2025-03-28', '2025-04-04', '2025-04-11', '2025-04-18', '2025-04-25', '2025-05-02', '2025-05-09', '2025-05-16']",15675
9,"['2152-15', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']","['2024-12-06', '2024-12-13', '2024-12-20', '2024-12-27']",15662
10,"['2152-2', '2152-16', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-2f657731806a2eb6', '2152-6a0d6b0fbab66de3', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']","['2025-01-04', '2025-01-11', '2025-01-18', '2025-01-25', '2025-02-01', '2025-02-08', '2025-02-15', '2025-02-22', '2025-03-01', '2025-03-08', '2025-03-15', '2025-03-22', '2025-03-29', '2025-04-05', '2025-04-12', '2025-04-19', '2025-04-26', '2025-05-03', '2025-05-10', '2025-05-17']",9794
