date,day,active_services,Number_of_Active_services,Number_of_Active_Trips,category
2024-12-05,thursday,"['2152-13', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9']",5,15645,5
2024-12-06,friday,"['2152-15', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",8,15662,9
2024-12-07,saturday,"['2152-2', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-2f657731806a2eb6', '2152-6a0d6b0fbab66de3', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",7,9774,11
2024-12-08,sunday,"['2152-3', '2152-55b47668541a2d2b', '2152-2f657731806a2eb6', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",6,7028,13
2024-12-09,monday,"['2152-13', '2152-d3dfa64941858f3632c262bc6e1e740e', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef']",7,15659,7
2024-12-10,tuesday,"['2152-12', '2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,15658,2
2024-12-11,wednesday,"['2152-12', '2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,15658,2
2024-12-12,thursday,"['2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",8,15657,4
2024-12-13,friday,"['2152-15', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",8,15662,9
2024-12-14,saturday,"['2152-2', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-2f657731806a2eb6', '2152-6a0d6b0fbab66de3', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",7,9774,11
2024-12-15,sunday,"['2152-3', '2152-55b47668541a2d2b', '2152-2f657731806a2eb6', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",6,7028,13
2024-12-16,monday,"['2152-13', '2152-d3dfa64941858f3632c262bc6e1e740e', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef']",7,15659,7
2024-12-17,tuesday,"['2152-12', '2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,15658,2
2024-12-18,wednesday,"['2152-12', '2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,15658,2
2024-12-19,thursday,"['2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",8,15657,4
2024-12-20,friday,"['2152-15', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",8,15662,9
