date,day,active_services,Number_of_Active_services,Number_of_Active_Trips,category
2024-09-01,sunday,"['561-gen:144117', '561-gen:299671', '561-gen:616109']",3,3010,36
2024-09-02,monday,"['561-gen:144117', '561-gen:271096']",2,138,35
2024-09-03,tuesday,"['561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806']",8,7054,32
2024-09-04,wednesday,"['561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806']",8,7054,32
2024-09-05,thursday,"['561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:916525']",9,7056,34
2024-09-06,friday,"['561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:308437', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",10,7064,31
2024-09-07,saturday,"['561-gen:144117', '561-gen:373328']",2,4047,37
2024-09-08,sunday,"['561-gen:144117', '561-gen:299671', '561-gen:616109']",3,3010,36
2024-09-09,monday,"['561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",9,7056,33
2024-09-10,tuesday,"['561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806']",8,7054,32
2024-09-11,wednesday,"['561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806']",8,7054,32
2024-09-12,thursday,"['561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:916525']",9,7056,34
2024-09-13,friday,"['561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:308437', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",10,7064,31
2024-09-14,saturday,"['561-gen:144117', '561-gen:373328']",2,4047,37
2024-09-15,sunday,"['561-gen:144117', '561-gen:299671', '561-gen:616109']",3,3010,36
2024-09-16,monday,"['561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",9,7056,33
2024-09-17,tuesday,"['561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806']",8,7054,32
2024-09-18,wednesday,"['561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806']",8,7054,32
2024-09-19,thursday,"['561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:916525']",9,7056,34
