date,day,active_services,Number_of_Active_services,Number_of_Active_Trips,category
2024-11-17,sunday,['1703-3'],1,27918,5
2024-11-18,monday,"['1703-1', '1703-f1972e1ef0121e0881dd6fcc009ed337', '1703-401', '1703-4401']",4,39457,3
2024-11-19,tuesday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']",4,39482,2
2024-11-20,wednesday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']",4,39480,1
2024-11-21,thursday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']",4,39480,1
2024-11-22,friday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']",4,39482,2
2024-11-23,saturday,"['1703-2', '1703-9109368be075b49bf753ae6a3676b9d0']",2,31357,4
2024-11-24,sunday,"['1703-3', '1703-f776e9e3c74629a49deff4fd3897b45f']",2,28315,6
2024-11-25,monday,"['1703-1', '1703-f1972e1ef0121e0881dd6fcc009ed337', '1703-401', '1703-4401']",4,39457,3
2024-11-26,tuesday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']",4,39482,2
2024-11-27,wednesday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']",4,39480,1
2024-11-28,thursday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']",4,39480,1
2024-11-29,friday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']",4,39482,2
2024-11-30,saturday,"['1703-2', '1703-9109368be075b49bf753ae6a3676b9d0']",2,31357,4
2024-12-01,sunday,"['1703-3', '1703-f776e9e3c74629a49deff4fd3897b45f']",2,28315,6
2024-12-02,monday,"['1703-1', '1703-f1972e1ef0121e0881dd6fcc009ed337', '1703-401', '1703-4401']",4,39457,3
2024-12-03,tuesday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']",4,39482,2
2024-12-04,wednesday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']",4,39480,1
2024-12-05,thursday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']",4,39480,1
2024-12-06,friday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']",4,39482,2
2024-12-07,saturday,"['1703-2', '1703-9109368be075b49bf753ae6a3676b9d0']",2,31357,4
2024-12-08,sunday,"['1703-3', '1703-f776e9e3c74629a49deff4fd3897b45f']",2,28315,6
2024-12-09,monday,"['1703-1', '1703-f1972e1ef0121e0881dd6fcc009ed337', '1703-401', '1703-4401']",4,39457,3
2024-12-10,tuesday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']",4,39482,2
2024-12-11,wednesday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']",4,39480,1
2024-12-12,thursday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']",4,39480,1
2024-12-13,friday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']",4,39482,2
2024-12-14,saturday,"['1703-2', '1703-9109368be075b49bf753ae6a3676b9d0']",2,31357,4
2024-12-15,sunday,"['1703-3', '1703-f776e9e3c74629a49deff4fd3897b45f']",2,28315,6
2024-12-16,monday,"['1703-1', '1703-f1972e1ef0121e0881dd6fcc009ed337', '1703-401', '1703-4401']",4,39457,3
2024-12-17,tuesday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']",4,39482,2
2024-12-18,wednesday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']",4,39480,1
2024-12-19,thursday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']",4,39480,1
2024-12-20,friday,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']",4,39482,2
2024-12-21,saturday,"['1703-2', '1703-9109368be075b49bf753ae6a3676b9d0']",2,31357,4
2024-12-22,sunday,['1703-f776e9e3c74629a49deff4fd3897b45f'],1,397,7
