date,day,active_services,Number_of_Active_services,Number_of_Active_Trips,category
2024-12-15,sunday,['100347-2'],1,8964,10
2024-12-16,monday,['100347-7'],1,13876,16
2024-12-17,tuesday,['100347-7'],1,13876,16
2024-12-18,wednesday,['100347-7'],1,13876,16
2024-12-19,thursday,['100347-7'],1,13876,16
2024-12-20,friday,"['100347-8', '100347-12', '100347-038e6790dac6c885', '100347-09a65ff3bf221ab0', '100347-03b72601c5d73aac', '100347-0496545ad1f222bf', '100347-0622dbea6c7fa135', '100347-041383092932c5b5']",8,14999,18
2024-12-21,saturday,"['100347-10', '100347-14', '100347-038e6790dac6c885', '100347-09a65ff3bf221ab0', '100347-082c369587bde058', '100347-0622dbea6c7fa135', '100347-041383092932c5b5']",7,10569,7
2024-12-22,sunday,"['100347-2', '100347-038e6790dac6c885', '100347-09a65ff3bf221ab0', '100347-082c369587bde058']",4,9798,11
2024-12-23,monday,"['100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-038e6790dac6c885', '100347-09a65ff3bf221ab0', '100347-03b72601c5d73aac', '100347-0496545ad1f222bf', '100347-046dc0c6bdea2e78']",7,14871,3
2024-12-24,tuesday,"['100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-038e6790dac6c885', '100347-09a65ff3bf221ab0', '100347-03b72601c5d73aac', '100347-0496545ad1f222bf', '100347-046dc0c6bdea2e78']",7,14871,3
2024-12-25,wednesday,"['100347-2', '100347-038e6790dac6c885', '100347-09a65ff3bf221ab0', '100347-082c369587bde058']",4,9798,11
2024-12-26,thursday,"['100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-038e6790dac6c885', '100347-09a65ff3bf221ab0', '100347-03b72601c5d73aac', '100347-0496545ad1f222bf', '100347-046dc0c6bdea2e78']",7,14871,3
2024-12-27,friday,"['100347-5', '100347-15', '100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-038e6790dac6c885', '100347-044b5f27a2e534bc', '100347-03d65e5cb5b6d449', '100347-0496545ad1f222bf', '100347-023de4510d07c907', '100347-046dc0c6bdea2e78', '100347-041383092932c5b5']",11,14924,15
