category,Active_Services,Date_List,Number_of_Active_Trips
1,['1681-1'],['2024-09-02'],24159
2,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5']","['2024-09-09', '2024-09-16', '2024-09-23', '2024-09-30', '2024-10-07', '2024-10-14', '2024-10-21', '2024-10-28', '2024-11-04', '2024-11-11', '2024-11-18', '2024-11-25', '2024-12-02']",24192
3,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5', '1681-101', '1681-1101', '1681-152201', '1681-155601', '1681-259701', '1681-43501', '1681-62101', '1681-75301', '1681-801', '1681-251b60a7488ece4b']","['2024-12-09', '2024-12-16']",24734
4,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5', '1681-1101', '1681-152201', '1681-155601', '1681-201', '1681-259701', '1681-43501', '1681-801', '1681-251b60a7488ece4b']","['2024-12-23', '2024-12-30', '2025-01-02']",24627
5,"['1681-1', '1681-b2aeb8e977a67594697b15a549a39a9b', '1681-1201', '1681-152301', '1681-155601', '1681-201', '1681-259701', '1681-43501', '1681-801', '1681-251b60a7488ece4b']",['2024-12-27'],24769
6,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']","['2024-09-03', '2024-09-04', '2024-09-05', '2024-09-06', '2024-09-10', '2024-09-11', '2024-09-12', '2024-09-13', '2024-09-17', '2024-09-18', '2024-09-19', '2024-09-20', '2024-09-24', '2024-09-25', '2024-09-26', '2024-09-27', '2024-10-01', '2024-10-02', '2024-10-03', '2024-10-04', '2024-10-08', '2024-10-09', '2024-10-10', '2024-10-11', '2024-10-15', '2024-10-16', '2024-10-17', '2024-10-18', '2024-10-22', '2024-10-23', '2024-10-24', '2024-10-25', '2024-10-29', '2024-10-30', '2024-10-31', '2024-11-01', '2024-11-05', '2024-11-06', '2024-11-07', '2024-11-08', '2024-11-12', '2024-11-13', '2024-11-14', '2024-11-15', '2024-11-19', '2024-11-20', '2024-11-21', '2024-11-22', '2024-11-26', '2024-11-27', '2024-11-28', '2024-11-29', '2024-12-03']",24206
7,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1101', '1681-152201', '1681-155601', '1681-2001', '1681-259701', '1681-43501', '1681-75301', '1681-801', '1681-251b60a7488ece4b']","['2024-12-04', '2024-12-11', '2024-12-18']",24748
8,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1101', '1681-152201', '1681-155601', '1681-259701', '1681-43501', '1681-62101', '1681-75301', '1681-801', '1681-251b60a7488ece4b']","['2024-12-05', '2024-12-10', '2024-12-12', '2024-12-17', '2024-12-19']",24748
9,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1201', '1681-152301', '1681-155601', '1681-259701', '1681-43501', '1681-62101', '1681-701', '1681-251b60a7488ece4b']","['2024-12-06', '2024-12-13', '2024-12-20']",24874
10,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-1101', '1681-152201', '1681-201', '1681-259701', '1681-43501', '1681-801', '1681-92501', '1681-251b60a7488ece4b']",['2024-12-24'],24641
