date,day,active_services,Number_of_Active_services,Number_of_Active_Trips,category
2024-09-02,monday,['1681-1'],1,24159,1
2024-09-03,tuesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-09-04,wednesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-09-05,thursday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-09-06,friday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-09-07,saturday,"['1681-2', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,18809,14
2024-09-08,sunday,"['1681-3', '1681-b2aeb8e977a67594697b15a549a39a9b']",2,16560,17
2024-09-09,monday,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5']",2,24192,2
2024-09-10,tuesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-09-11,wednesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-09-12,thursday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-09-13,friday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-09-14,saturday,"['1681-2', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,18809,14
2024-09-15,sunday,"['1681-3', '1681-b2aeb8e977a67594697b15a549a39a9b']",2,16560,17
2024-09-16,monday,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5']",2,24192,2
2024-09-17,tuesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-09-18,wednesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
